fname,label,manually_verified,fold
00044347.wav,Hi-hat,0,0
001ca53d.wav,Saxophone,1,0
002d256b.wav,Trumpet,0,0
0033e230.wav,Glockenspiel,1,0
00353774.wav,Cello,1,0
003b91e8.wav,Cello,0,0
003da8e5.wav,Knock,1,0
0048fd00.wav,Gunshot_or_gunfire,1,0
004ad66f.wav,Clarinet,0,0
0063ab88.wav,Computer_keyboard,0,0
006f2f32.wav,Hi-hat,1,0
0075d39c.wav,Keys_jangling,0,0
00780200.wav,Snare_drum,0,0
0079d310.wav,Computer_keyboard,0,0
0091fc7f.wav,Cello,1,0
0097160c.wav,Laughter,1,0
00ad7068.wav,Laughter,0,0
00c5808a.wav,Tearing,0,0
00c82919.wav,Burping_or_eructation,0,0
00c934d7.wav,Laughter,1,0
00c9e799.wav,Oboe,0,0
00cb787c.wav,Flute,1,0
00ce569f.wav,Hi-hat,0,0
00d1fe46.wav,Cough,0,0
00d3bba3.wav,Telephone,1,0
00d40fa2.wav,Drawer_open_or_close,0,0
00d9fa61.wav,Flute,0,0
00e2b4cd.wav,Bark,1,0
00f88dc5.wav,Glockenspiel,1,0
00fbb28b.wav,Chime,0,0
00fcbab2.wav,Fart,0,0
010aa387.wav,Fart,0,0
011a2185.wav,Cello,1,0
0120d246.wav,Bus,0,0
01235a12.wav,Squeak,0,0
01257aad.wav,Scissors,1,0
01302128.wav,Harmonica,0,0
013264d3.wav,Microwave_oven,0,0
013c3135.wav,Clarinet,0,0
01506d76.wav,Scissors,0,0
015cf474.wav,Clarinet,0,0
0160d55e.wav,Gong,1,0
01638f61.wav,Writing,0,0
0172a2a5.wav,Microwave_oven,1,0
017ea24e.wav,Burping_or_eructation,0,0
01811e48.wav,Bus,0,0
0184c390.wav,Cello,0,0
018863f5.wav,Double_bass,0,0
018a10bb.wav,Double_bass,0,0
018b1df6.wav,Shatter,1,0
018d1dc4.wav,Hi-hat,0,0
0193042e.wav,Fireworks,0,0
01974c7c.wav,Hi-hat,0,0
019aae9d.wav,Fireworks,0,0
019d2a2c.wav,Bark,1,0
01a36643.wav,Tambourine,0,0
01a39e95.wav,Shatter,0,0
01a59a61.wav,Gong,0,0
01a59c11.wav,Harmonica,1,0
01a5dc85.wav,Double_bass,0,0
01b9f44a.wav,Telephone,1,0
01c2f88b.wav,Bass_drum,1,0
01d2475c.wav,Writing,0,0
01d4dafd.wav,Harmonica,1,0
01df7ada.wav,Tearing,0,0
01e723f5.wav,Harmonica,1,0
01ec7a01.wav,Tearing,0,0
01ee18fd.wav,Microwave_oven,1,0
01f2e70b.wav,Gunshot_or_gunfire,1,0
01fc4661.wav,Oboe,1,0
020eb9f6.wav,Bark,1,0
021f8009.wav,Fart,0,0
022092bc.wav,Keys_jangling,0,0
02267a1a.wav,Squeak,0,0
02274ee8.wav,Burping_or_eructation,0,0
022a3507.wav,Bus,1,0
022cc908.wav,Knock,1,0
0231b9f3.wav,Double_bass,0,0
02328c03.wav,Writing,0,0
0236dccb.wav,Cowbell,0,0
023d3434.wav,Microwave_oven,0,0
0244bb9e.wav,Fireworks,0,0
024a193f.wav,Laughter,1,0
024c4c6d.wav,Bass_drum,1,0
024da466.wav,Tambourine,1,0
